Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
208;0.0051562500000000;-0.0003978597618727 +(-0.0274916841428244i);0.0040323174633864;0.0051562500000000
209;0.0056666670000000;-0.0009584608161994 +(0.0111174955375657i);0.0040584625091890;0.0056666670000000
210;0.0062678570000000;0.0041015723495924 +(0.0006716952324513i);0.0040845700390742;0.0062678570000000
211;0.0067166670000000;0.0026086952374015 +(0.0141207625847748i);0.0041106377803523;0.0067166670000000
212;0.0072142860000000;-0.0258227245072456 +(-0.0313220477140060i);0.0041366634648334;0.0072142860000000
213;0.0076500000000000;0.0387118395376904 +(0.0185458208902778i);0.0041626448290789;0.0076500000000000
214;0.0080909090000000;-0.0132621997975269 +(-0.0182152918323325i);0.0041885796146504;0.0080909090000000
215;0.0084333330000000;0.0006844166762511 +(-0.0158707750175336i);0.0042144655683597;0.0084333330000000
216;0.0088392860000000;0.0101579690398878 +(0.0005428915429437i);0.0042403004425159;0.0088392860000000
217;0.0091666670000000;0.0493249629560389 +(0.0203047356521932i);0.0042660819951731;0.0091666670000000
218;0.0095892860000000;-0.0238501543775235 +(-0.0360656025249274i);0.0042918079903756;0.0095892860000000
219;0.0098750000000000;-0.0125382045612543 +(0.0195279382640623i);0.0043174761984034;0.0098750000000000
220;0.0102083330000000;-0.0128225260114178 +(0.0070481446596092i);0.0043430843960152;0.0102083330000000
221;0.0105714290000000;-0.0054046552314950 +(-0.0309479961242554i);0.0043686303666919;0.0105714290000000
222;0.0108000000000000;-0.0346098075281852 +(-0.0041801211774618i);0.0043941119008771;0.0108000000000000
223;0.0111250000000000;0.0197767899329680 +(0.0363772890085149i);0.0044195267962179;0.0111250000000000
224;0.0114464290000000;0.0075037054155286 +(0.0534472656941742i);0.0044448728578040;0.0114464290000000
225;0.0117333330000000;0.0409386439863337 +(0.0065774504255341i);0.0044701478984050;0.0117333330000000
226;0.0120454550000000;0.2802323159627385 +(0.1115088485843385i);0.0044953497387073;0.0120454550000000
227;0.0122666670000000;-0.1447578369529576 +(-0.0852897452685990i);0.0045204762075492;0.0122666670000000
228;0.0125892860000000;0.0114452035486300 +(-0.0801829877531849i);0.0045455251421546;0.0125892860000000
229;0.0127666670000000;0.0328239132784951 +(-0.1007908976562134i);0.0045704943883657;0.0127666670000000
230;0.0130714290000000;0.0347625107961044 +(-0.0198561351964629i);0.0045953818008739;0.0130714290000000
231;0.0132857140000000;0.0432061691542837 +(-0.0271312868771652i);0.0046201852434499;0.0132857140000000
232;0.0134375000000000;0.0111030562220756 +(0.0171463856958217i);0.0046449025891713;0.0134375000000000
233;0.0136250000000000;-0.0413035016980401 +(-0.0529375054725272i);0.0046695317206500;0.0136250000000000
234;0.0137812500000000;-0.0049684539717073 +(0.0092312666849271i);0.0046940705302571;0.0137812500000000
235;0.0139166670000000;-0.0114286480543308 +(-0.0346341928470122i);0.0047185169203469;0.0139166670000000
236;0.0140166670000000;0.0035381396293842 +(-0.0326955933498413i);0.0047428688034789;0.0140166670000000
237;0.0140892860000000;-0.0031709316527758 +(-0.0333135961879037i);0.0047671241026387;0.0140892860000000
238;0.0141666670000000;0.0166475087405385 +(-0.0259140745300073i);0.0047912807514566;0.0141666670000000
239;0.0142000000000000;0.0005937934759224 +(-0.0167973837891060i);0.0048153366944257;0.0142000000000000
240;0.0142500000000000;0.0115203280938125 +(-0.0010185489441532i);0.0048392898871169;0.0142500000000000
241;0.0142857140000000;-0.0052642754455370 +(-0.0108857107373297i);0.0048631382963934;0.0142857140000000
242;0.0145000000000000;0.0120607842552120 +(-0.0124406012283408i);0.0048868799006233;0.0145000000000000
243;0.0147666670000000;-0.0171711857860936 +(-0.0352254455110521i);0.0049105126898896;0.0147666670000000
244;0.0150909090000000;-0.0188110968695966 +(-0.0238246018658004i);0.0049340346661999;0.0150909090000000
245;0.0155666670000000;-0.0108025920826339 +(-0.0336935296706939i);0.0049574438436929;0.0155666670000000
246;0.0161250000000000;-0.0030081906489102 +(-0.0124233795284737i);0.0049807382488439;0.0161250000000000
247;0.0166785710000000;-0.0076802607874915 +(-0.0071120467113361i);0.0050039159206688;0.0166785710000000
248;0.0176333330000000;0.0400026079865504 +(-0.0094271750150121i);0.0050269749109251;0.0176333330000000
249;0.0184464290000000;-0.0076591014546956 +(-0.0237065303996057i);0.0050499132843120;0.0184464290000000
250;0.0191250000000000;0.0012941167823171 +(0.0012204852080339i);0.0050727291186686;0.0191250000000000
251;0.0198571430000000;-0.0350057206165074 +(-0.0130343957709007i);0.0050954205051694;0.0198571430000000
252;0.0206666670000000;-0.0019228979616013 +(-0.0251977945207851i);0.0051179855485190;0.0206666670000000
253;0.0212833330000000;-0.0170948974565283 +(-0.0250206983762187i);0.0051404223671435;0.0212833330000000
254;0.0219107140000000;-0.0124550201441350 +(-0.0311844853094309i);0.0051627290933814;0.0219107140000000
255;0.0223500000000000;-0.0008068365001967 +(0.0045650434806441i);0.0051849038736713;0.0223500000000000
256;0.0227500000000000;0.0263902762775649 +(-0.0171458224147186i);0.0052069448687382;0.0227500000000000
257;0.0230000000000000;-0.0097187471426799 +(0.0027677343051392i);0.0052288502537777;0.0230000000000000
258;0.0231607140000000;-0.0152820329668393 +(0.0090219848780465i);0.0052506182186378;0.0231607140000000
259;0.0232333330000000;-0.0125736477028987 +(0.0081634402729991i);0.0052722469679991;0.0232333330000000
260;0.0232500000000000;0.0110956676047704 +(-0.0157382154737276i);0.0052937347215527;0.0232500000000000
261;0.0230000000000000;-0.0183610970752302 +(-0.0242609146296018i);0.0053150797141760;0.0230000000000000
262;0.0227727270000000;0.0161212789597478 +(-0.0293626355412967i);0.0053362801961060;0.0227727270000000
263;0.0224833330000000;0.0465911797520305 +(-0.0726649393486701i);0.0053573344331112;0.0224833330000000
264;0.0221500000000000;-0.0735938391734033 +(0.0462290147082586i);0.0053782407066608;0.0221500000000000
265;0.0217142860000000;-0.0047793539455093 +(0.0049056515847525i);0.0053989973140917;0.0217142860000000
